preset,size_bytes,sample,airtime_us
2400bps,1,1,2
2400bps,1,2,1
2400bps,1,3,1
2400bps,1,4,1
2400bps,1,5,1
2400bps,2,1,1
2400bps,2,2,1
2400bps,2,3,1
2400bps,2,4,1
2400bps,2,5,1
2400bps,3,1,1
2400bps,3,2,1
2400bps,3,3,1
2400bps,3,4,1
2400bps,3,5,1
2400bps,4,1,1
2400bps,4,2,1
2400bps,4,3,1
2400bps,4,4,1
2400bps,4,5,1
2400bps,5,1,1
2400bps,5,2,1
2400bps,5,3,1
2400bps,5,4,1
2400bps,5,5,1
2400bps,6,1,1
2400bps,6,2,1
2400bps,6,3,1
2400bps,6,4,1
2400bps,6,5,1
2400bps,7,1,2
2400bps,7,2,2
2400bps,7,3,2
2400bps,7,4,2
2400bps,7,5,2
2400bps,8,1,2
2400bps,8,2,2
2400bps,8,3,2
2400bps,8,4,2
2400bps,8,5,2
2400bps,9,1,1
2400bps,9,2,1
2400bps,9,3,1
2400bps,9,4,1
2400bps,9,5,1
2400bps,10,1,1
2400bps,10,2,1
2400bps,10,3,1
2400bps,10,4,1
2400bps,10,5,1
2400bps,11,1,1
2400bps,11,2,1
2400bps,11,3,1
2400bps,11,4,1
2400bps,11,5,1
2400bps,12,1,1
2400bps,12,2,1
2400bps,12,3,1
2400bps,12,4,1
2400bps,12,5,1
2400bps,13,1,1
2400bps,13,2,1
2400bps,13,3,1
2400bps,13,4,1
2400bps,13,5,1
2400bps,14,1,1
2400bps,14,2,1
2400bps,14,3,1
2400bps,14,4,1
2400bps,14,5,1
2400bps,15,1,1
2400bps,15,2,1
2400bps,15,3,1
2400bps,15,4,1
2400bps,15,5,1
2400bps,16,1,269
2400bps,16,2,2083
2400bps,16,3,1881
2400bps,16,4,2676
2400bps,16,5,2473
2400bps,17,1,2275
2400bps,17,2,2081
2400bps,17,3,1881
2400bps,17,4,2686
2400bps,17,5,2490
2400bps,18,1,2344
2400bps,18,2,2343
2400bps,18,3,2343
2400bps,18,4,2343
2400bps,18,5,2340
2400bps,19,1,3380
2400bps,19,2,3379
2400bps,19,3,3387
2400bps,19,4,3380
2400bps,19,5,3386
2400bps,20,1,4421
2400bps,20,2,22717
2400bps,20,3,23018
2400bps,20,4,22326
2400bps,20,5,22630
2400bps,21,1,22929
2400bps,21,2,22233
2400bps,21,3,22536
2400bps,21,4,22846
2400bps,21,5,23161
2400bps,22,1,22464
