preset,size_bytes,sample,airtime_us
2400bps,1,1,1
2400bps,1,2,1
2400bps,1,3,1
2400bps,1,4,1
2400bps,1,5,1
2400bps,2,1,1
2400bps,2,2,1
2400bps,2,3,1
2400bps,2,4,1
2400bps,2,5,1
2400bps,3,1,1
2400bps,3,2,1
2400bps,3,3,1
2400bps,3,4,1
2400bps,3,5,1
2400bps,4,1,1
2400bps,4,2,1
2400bps,4,3,1
2400bps,4,4,1
2400bps,4,5,1
2400bps,5,1,1
2400bps,5,2,1
2400bps,5,3,1
2400bps,5,4,1
2400bps,5,5,1
2400bps,6,1,1
2400bps,6,2,1
2400bps,6,3,1
2400bps,6,4,1
2400bps,6,5,1
2400bps,7,1,1
2400bps,7,2,1
2400bps,7,3,1
2400bps,7,4,1
2400bps,7,5,1
2400bps,8,1,1
2400bps,8,2,1
2400bps,8,3,1
2400bps,8,4,1
2400bps,8,5,1
2400bps,9,1,1
2400bps,9,2,1
2400bps,9,3,1
2400bps,9,4,1
2400bps,9,5,1
2400bps,10,1,1
2400bps,10,2,1
2400bps,10,3,1
2400bps,10,4,1
2400bps,10,5,1
2400bps,11,1,1
2400bps,11,2,1
2400bps,11,3,1
2400bps,11,4,1
2400bps,11,5,1
2400bps,12,1,1
2400bps,12,2,1
2400bps,12,3,1
2400bps,12,4,1
2400bps,12,5,1
2400bps,13,1,1
2400bps,13,2,1
2400bps,13,3,1
2400bps,13,4,1
2400bps,13,5,1
2400bps,14,1,1
2400bps,14,2,1
2400bps,14,3,1
2400bps,14,4,1
2400bps,14,5,1
2400bps,15,1,1
2400bps,15,2,1
2400bps,15,3,1
2400bps,15,4,1
2400bps,15,5,1
2400bps,16,1,351
2400bps,16,2,2170
2400bps,16,3,1965
2400bps,16,4,2764
2400bps,16,5,2563
2400bps,17,1,2364
2400bps,17,2,2170
2400bps,17,3,1975
2400bps,17,4,2784
2400bps,17,5,2596
2400bps,18,1,2425
2400bps,18,2,2420
2400bps,18,3,2425
2400bps,18,4,2426
2400bps,18,5,2425
2400bps,19,1,3463
2400bps,19,2,3465
2400bps,19,3,3467
2400bps,19,4,3464
2400bps,19,5,3464
2400bps,20,1,4502
2400bps,20,2,22802
2400bps,20,3,23103
2400bps,20,4,22398
2400bps,20,5,22695
2400bps,21,1,22996
2400bps,21,2,22305
2400bps,21,3,22616
2400bps,21,4,22917
2400bps,21,5,23222
2400bps,22,1,22527
2400bps,22,2,22839
2400bps,22,3,23145
2400bps,22,4,22464
2400bps,22,5,22779
2400bps,23,1,23086
2400bps,23,2,22404
2400bps,23,3,22722
2400bps,23,4,23046
2400bps,23,5,22364
2400bps,24,1,22683
2400bps,24,2,43483
2400bps,24,3,43281
2400bps,24,4,43085
2400bps,24,5,42883
2400bps,25,1,43689
2400bps,25,2,43500
2400bps,25,3,43307
2400bps,25,4,43119
2400bps,25,5,42925
2400bps,26,1,43735
2400bps,26,2,43551
2400bps,26,3,43368
2400bps,26,4,43177
2400bps,26,5,42986
2400bps,27,1,42806
2400bps,27,2,43624
2400bps,27,3,43441
2400bps,27,4,43258
2400bps,27,5,43078
2400bps,28,1,42894
2400bps,28,2,43721
2400bps,28,3,43543
2400bps,28,4,43365
2400bps,28,5,43189
2400bps,29,1,43018
2400bps,29,2,63329
2400bps,29,3,63645
2400bps,29,4,63953
2400bps,29,5,64260
2400bps,30,1,63568
2400bps,30,2,63881
2400bps,30,3,64201
2400bps,30,4,63520
2400bps,30,5,63827
2400bps,31,1,64137
2400bps,31,2,63463
2400bps,31,3,63785
2400bps,31,4,64103
2400bps,31,5,63418
